"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\_app.js", "JavaScript", -18, 0, -2, -20
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\_document.js", "JavaScript", -12, 0, -2, -14
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\admin.js", "JavaScript", -56, 0, -8, -64
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\api\axios.js", "JavaScript", -10, 0, -3, -13
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\api\hello.js", "JavaScript", -3, -1, -2, -6
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\app\store.js", "JavaScript", -7, 0, -2, -9
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\cart.js", "JavaScript", -115, 0, -7, -122
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\category\[category].js", "JavaScript", -82, 0, -5, -87
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\index.js", "JavaScript", -82, 0, -6, -88
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\login.js", "JavaScript", -121, 0, -14, -135
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\product\[product].js", "JavaScript", -140, 0, -3, -143
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\profile\[profile].js", "JavaScript", -176, -1, -13, -190
"c:\Users\Joe\Documents\Web development\ecommerce\client\pages\register.js", "JavaScript", -266, 0, -20, -286
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\appController.js", "JavaScript", 147, 5, 16, 168
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\productController.js", "JavaScript", 73, 0, 4, 77
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\refreshTokenController.js", "JavaScript", 26, 0, 5, 31
"Total", "-", -842, 3, -62, -901
